trip_id,arrival_time,departure_time,stop_id,stop_sequence
L252001_B_18,10:30:48,10:30:48,ZAAMOUCHE,2
L252001_F_19,10:30:00,10:30:00,ZAAMOUCHE,1
L252001_F_19,10:45:48,10:45:48,EL_MERIDJ,2
L252001_B_19,10:30:00,10:30:00,EL_MERIDJ,1
L252001_B_19,10:45:48,10:45:48,ZAAMOUCHE,2
L252001_F_20,10:45:00,10:45:00,ZAAMOUCHE,1
L252001_F_20,11:00:48,11:00:48,EL_MERIDJ,2
L252001_B_20,10:45:00,10:45:00,EL_MERIDJ,1
L252001_B_20,11:00:48,11:00:48,ZAAMOUCHE,2
L252001_F_21,11:00:00,11:00:00,ZAAMOUCHE,1
L252001_F_21,11:15:48,11:15:48,EL_MERIDJ,2
L252001_B_21,11:00:00,11:00:00,EL_MERIDJ,1
L252001_B_21,11:15:48,11:15:48,ZAAMOUCHE,2
L252001_F_22,11:15:00,11:15:00,ZAAMOUCHE,1
L252001_F_22,11:30:48,11:30:48,EL_MERIDJ,2
L252001_B_22,11:15:00,11:15:00,EL_MERIDJ,1
L252001_B_22,11:30:48,11:30:48,ZAAMOUCHE,2
L252001_F_23,11:30:00,11:30:00,ZAAMOUCHE,1
L252001_F_23,11:45:48,11:45:48,EL_MERIDJ,2
L252001_B_23,11:30:00,11:30:00,EL_MERIDJ,1
L252001_B_23,11:45:48,11:45:48,ZAAMOUCHE,2
L252001_F_24,11:45:00,11:45:00,ZAAMOUCHE,1
L252001_F_24,12:00:48,12:00:48,EL_MERIDJ,2
L252001_B_24,11:45:00,11:45:00,EL_MERIDJ,1
L252001_B_24,12:00:48,12:00:48,ZAAMOUCHE,2
L252001_F_25,12:00:00,12:00:00,ZAAMOUCHE,1
L252001_F_25,12:15:48,12:15:48,EL_MERIDJ,2
L252001_B_25,12:00:00,12:00:00,EL_MERIDJ,1
L252001_B_25,12:15:48,12:15:48,ZAAMOUCHE,2
L252001_F_26,12:15:00,12:15:00,ZAAMOUCHE,1
L252001_F_26,12:30:48,12:30:48,EL_MERIDJ,2
L252001_B_26,12:15:00,12:15:00,EL_MERIDJ,1
L252001_B_26,12:30:48,12:30:48,ZAAMOUCHE,2
L252001_F_27,12:30:00,12:30:00,ZAAMOUCHE,1
L252001_F_27,12:45:48,12:45:48,EL_MERIDJ,2
L252001_B_27,12:30:00,12:30:00,EL_MERIDJ,1
L252001_B_27,12:45:48,12:45:48,ZAAMOUCHE,2
L252001_F_28,12:45:00,12:45:00,ZAAMOUCHE,1
L252001_F_28,13:00:48,13:00:48,EL_MERIDJ,2
L252001_B_28,12:45:00,12:45:00,EL_MERIDJ,1
L252001_B_28,13:00:48,13:00:48,ZAAMOUCHE,2
L252001_F_29,13:00:00,13:00:00,ZAAMOUCHE,1
L252001_F_29,13:15:48,13:15:48,EL_MERIDJ,2
L252001_B_29,13:00:00,13:00:00,EL_MERIDJ,1
L252001_B_29,13:15:48,13:15:48,ZAAMOUCHE,2
L252001_F_30,13:15:00,13:15:00,ZAAMOUCHE,1
L252001_F_30,13:30:48,13:30:48,EL_MERIDJ,2
L252001_B_30,13:15:00,13:15:00,EL_MERIDJ,1
L252001_B_30,13:30:48,13:30:48,ZAAMOUCHE,2
L252001_F_31,13:30:00,13:30:00,ZAAMOUCHE,1
L252001_F_31,13:45:48,13:45:48,EL_MERIDJ,2
L252001_B_31,13:30:00,13:30:00,EL_MERIDJ,1
L252001_B_31,13:45:48,13:45:48,ZAAMOUCHE,2
L252001_F_32,13:45:00,13:45:00,ZAAMOUCHE,1
L252001_F_32,14:00:48,14:00:48,EL_MERIDJ,2
L252001_B_32,13:45:00,13:45:00,EL_MERIDJ,1
L252001_B_32,14:00:48,14:00:48,ZAAMOUCHE,2
L252001_F_33,14:00:00,14:00:00,ZAAMOUCHE,1
L252001_F_33,14:15:48,14:15:48,EL_MERIDJ,2
L252001_B_33,14:00:00,14:00:00,EL_MERIDJ,1
L252001_B_33,14:15:48,14:15:48,ZAAMOUCHE,2
L252001_F_34,14:15:00,14:15:00,ZAAMOUCHE,1
L252001_F_34,14:30:48,14:30:48,EL_MERIDJ,2
L252001_B_34,14:15:00,14:15:00,EL_MERIDJ,1
L252001_B_34,14:30:48,14:30:48,ZAAMOUCHE,2
L252001_F_35,14:30:00,14:30:00,ZAAMOUCHE,1
L252001_F_35,14:45:48,14:45:48,EL_MERIDJ,2
L252001_B_35,14:30:00,14:30:00,EL_MERIDJ,1
L252001_B_35,14:45:48,14:45:48,ZAAMOUCHE,2
L252001_F_36,14:45:00,14:45:00,ZAAMOUCHE,1
L252001_F_36,15:00:48,15:00:48,EL_MERIDJ,2
L252001_B_36,14:45:00,14:45:00,EL_MERIDJ,1
L252001_B_36,15:00:48,15:00:48,ZAAMOUCHE,2
L252001_F_37,15:00:00,15:00:00,ZAAMOUCHE,1
L252001_F_37,15:15:48,15:15:48,EL_MERIDJ,2
L252001_B_37,15:00:00,15:00:00,EL_MERIDJ,1
L252001_B_37,15:15:48,15:15:48,ZAAMOUCHE,2
L252001_F_38,15:15:00,15:15:00,ZAAMOUCHE,1
L252001_F_38,15:30:48,15:30:48,EL_MERIDJ,2
L252001_B_38,15:15:00,15:15:00,EL_MERIDJ,1
L252001_B_38,15:30:48,15:30:48,ZAAMOUCHE,2
L252001_F_39,15:30:00,15:30:00,ZAAMOUCHE,1
L252001_F_39,15:45:48,15:45:48,EL_MERIDJ,2
L252001_B_39,15:30:00,15:30:00,EL_MERIDJ,1
L252001_B_39,15:45:48,15:45:48,ZAAMOUCHE,2
L252001_F_40,15:45:00,15:45:00,ZAAMOUCHE,1
L252001_F_40,16:00:48,16:00:48,EL_MERIDJ,2
L252001_B_40,15:45:00,15:45:00,EL_MERIDJ,1
L252001_B_40,16:00:48,16:00:48,ZAAMOUCHE,2
L252001_F_41,16:00:00,16:00:00,ZAAMOUCHE,1
L252001_F_41,16:15:48,16:15:48,EL_MERIDJ,2
L252001_B_41,16:00:00,16:00:00,EL_MERIDJ,1
L252001_B_41,16:15:48,16:15:48,ZAAMOUCHE,2
L252001_F_42,16:15:00,16:15:00,ZAAMOUCHE,1
L252001_F_42,16:30:48,16:30:48,EL_MERIDJ,2
L252001_B_42,16:15:00,16:15:00,EL_MERIDJ,1
L252001_B_42,16:30:48,16:30:48,ZAAMOUCHE,2
L252001_F_43,16:30:00,16:30:00,ZAAMOUCHE,1
L252001_F_43,16:45:48,16:45:48,EL_MERIDJ,2
L252001_B_43,16:30:00,16:30:00,EL_MERIDJ,1
L252001_B_43,16:45:48,16:45:48,ZAAMOUCHE,2
L252001_F_44,16:45:00,16:45:00,ZAAMOUCHE,1
L252001_F_44,17:00:48,17:00:48,EL_MERIDJ,2
L252001_B_44,16:45:00,16:45:00,EL_MERIDJ,1
L252001_B_44,17:00:48,17:00:48,ZAAMOUCHE,2
L252001_F_45,17:00:00,17:00:00,ZAAMOUCHE,1
L252001_F_45,17:15:48,17:15:48,EL_MERIDJ,2
L252001_B_45,17:00:00,17:00:00,EL_MERIDJ,1
L252001_B_45,17:15:48,17:15:48,ZAAMOUCHE,2
L252001_F_46,17:15:00,17:15:00,ZAAMOUCHE,1
L252001_F_46,17:30:48,17:30:48,EL_MERIDJ,2
L252001_B_46,17:15:00,17:15:00,EL_MERIDJ,1
L252001_B_46,17:30:48,17:30:48,ZAAMOUCHE,2
L252001_F_47,17:30:00,17:30:00,ZAAMOUCHE,1
L252001_F_47,17:45:48,17:45:48,EL_MERIDJ,2
L252001_B_47,17:30:00,17:30:00,EL_MERIDJ,1
L252001_B_47,17:45:48,17:45:48,ZAAMOUCHE,2
L252001_F_48,17:45:00,17:45:00,ZAAMOUCHE,1
L252001_F_48,18:00:48,18:00:48,EL_MERIDJ,2
L252001_B_48,17:45:00,17:45:00,EL_MERIDJ,1
L252001_B_48,18:00:48,18:00:48,ZAAMOUCHE,2
L252001_F_49,18:00:00,18:00:00,ZAAMOUCHE,1
L252001_F_49,18:15:48,18:15:48,EL_MERIDJ,2
L252001_B_49,18:00:00,18:00:00,EL_MERIDJ,1
L252001_B_49,18:15:48,18:15:48,ZAAMOUCHE,2
L252001_F_50,18:15:00,18:15:00,ZAAMOUCHE,1
L252001_F_50,18:30:48,18:30:48,EL_MERIDJ,2
L252001_B_50,18:15:00,18:15:00,EL_MERIDJ,1
L252001_B_50,18:30:48,18:30:48,ZAAMOUCHE,2
L252001_F_51,18:30:00,18:30:00,ZAAMOUCHE,1
L252001_F_51,18:45:48,18:45:48,EL_MERIDJ,2
L252001_B_51,18:30:00,18:30:00,EL_MERIDJ,1
L252001_B_51,18:45:48,18:45:48,ZAAMOUCHE,2
L252001_F_52,18:45:00,18:45:00,ZAAMOUCHE,1
L252001_F_52,19:00:48,19:00:48,EL_MERIDJ,2
L252001_B_52,18:45:00,18:45:00,EL_MERIDJ,1
L252001_B_52,19:00:48,19:00:48,ZAAMOUCHE,2
L252001_F_53,19:00:00,19:00:00,ZAAMOUCHE,1
L252001_F_53,19:15:48,19:15:48,EL_MERIDJ,2
L252001_B_53,19:00:00,19:00:00,EL_MERIDJ,1
L252001_B_53,19:15:48,19:15:48,ZAAMOUCHE,2
L252001_F_54,19:15:00,19:15:00,ZAAMOUCHE,1
L252001_F_54,19:30:48,19:30:48,EL_MERIDJ,2
L252001_B_54,19:15:00,19:15:00,EL_MERIDJ,1
L252001_B_54,19:30:48,19:30:48,ZAAMOUCHE,2
L252001_F_55,19:30:00,19:30:00,ZAAMOUCHE,1
L252001_F_55,19:45:48,19:45:48,EL_MERIDJ,2
L252001_B_55,19:30:00,19:30:00,EL_MERIDJ,1
L252001_B_55,19:45:48,19:45:48,ZAAMOUCHE,2
L252001_F_56,19:45:00,19:45:00,ZAAMOUCHE,1
L252001_F_56,20:00:48,20:00:48,EL_MERIDJ,2
L252001_B_56,19:45:00,19:45:00,EL_MERIDJ,1
L252001_B_56,20:00:48,20:00:48,ZAAMOUCHE,2
L252005_F_1,06:00:00,06:00:00,ZAAMOUCHE,1
L252005_F_1,06:07:02,06:07:02,ZIGHOYD_YOUCEF,2
L252005_B_1,06:00:00,06:00:00,ZIGHOYD_YOUCEF,1
L252005_B_1,06:07:02,06:07:02,ZAAMOUCHE,2
L252005_F_2,06:15:00,06:15:00,ZAAMOUCHE,1
L252005_F_2,06:22:02,06:22:02,ZIGHOYD_YOUCEF,2
L252005_B_2,06:15:00,06:15:00,ZIGHOYD_YOUCEF,1
L252005_B_2,06:22:02,06:22:02,ZAAMOUCHE,2
L252005_F_3,06:30:00,06:30:00,ZAAMOUCHE,1
L252005_F_3,06:37:02,06:37:02,ZIGHOYD_YOUCEF,2
L252005_B_3,06:30:00,06:30:00,ZIGHOYD_YOUCEF,1
L252005_B_3,06:37:02,06:37:02,ZAAMOUCHE,2
L252005_F_4,06:45:00,06:45:00,ZAAMOUCHE,1
L252005_F_4,06:52:02,06:52:02,ZIGHOYD_YOUCEF,2
L252005_B_4,06:45:00,06:45:00,ZIGHOYD_YOUCEF,1
L252005_B_4,06:52:02,06:52:02,ZAAMOUCHE,2
L252005_F_5,07:00:00,07:00:00,ZAAMOUCHE,1
L252005_F_5,07:07:02,07:07:02,ZIGHOYD_YOUCEF,2
L252005_B_5,07:00:00,07:00:00,ZIGHOYD_YOUCEF,1
L252005_B_5,07:07:02,07:07:02,ZAAMOUCHE,2
L252005_F_6,07:15:00,07:15:00,ZAAMOUCHE,1
L252005_F_6,07:22:02,07:22:02,ZIGHOYD_YOUCEF,2
L252005_B_6,07:15:00,07:15:00,ZIGHOYD_YOUCEF,1
L252005_B_6,07:22:02,07:22:02,ZAAMOUCHE,2
L252005_F_7,07:30:00,07:30:00,ZAAMOUCHE,1
L252005_F_7,07:37:02,07:37:02,ZIGHOYD_YOUCEF,2
L252005_B_7,07:30:00,07:30:00,ZIGHOYD_YOUCEF,1
L252005_B_7,07:37:02,07:37:02,ZAAMOUCHE,2
L252005_F_8,07:45:00,07:45:00,ZAAMOUCHE,1
L252005_F_8,07:52:02,07:52:02,ZIGHOYD_YOUCEF,2
L252005_B_8,07:45:00,07:45:00,ZIGHOYD_YOUCEF,1
L252005_B_8,07:52:02,07:52:02,ZAAMOUCHE,2
L252005_F_9,08:00:00,08:00:00,ZAAMOUCHE,1
L252005_F_9,08:07:02,08:07:02,ZIGHOYD_YOUCEF,2
L252005_B_9,08:00:00,08:00:00,ZIGHOYD_YOUCEF,1
L252005_B_9,08:07:02,08:07:02,ZAAMOUCHE,2
L252005_F_10,08:15:00,08:15:00,ZAAMOUCHE,1
L252005_F_10,08:22:02,08:22:02,ZIGHOYD_YOUCEF,2
L252005_B_10,08:15:00,08:15:00,ZIGHOYD_YOUCEF,1
L252005_B_10,08:22:02,08:22:02,ZAAMOUCHE,2
L252005_F_11,08:30:00,08:30:00,ZAAMOUCHE,1
L252005_F_11,08:37:02,08:37:02,ZIGHOYD_YOUCEF,2
L252005_B_11,08:30:00,08:30:00,ZIGHOYD_YOUCEF,1
L252005_B_11,08:37:02,08:37:02,ZAAMOUCHE,2
L252005_F_12,08:45:00,08:45:00,ZAAMOUCHE,1
L252005_F_12,08:52:02,08:52:02,ZIGHOYD_YOUCEF,2
L252005_B_12,08:45:00,08:45:00,ZIGHOYD_YOUCEF,1
L252005_B_12,08:52:02,08:52:02,ZAAMOUCHE,2
L252005_F_13,09:00:00,09:00:00,ZAAMOUCHE,1
L252005_F_13,09:07:02,09:07:02,ZIGHOYD_YOUCEF,2
L252005_B_13,09:00:00,09:00:00,ZIGHOYD_YOUCEF,1
L252005_B_13,09:07:02,09:07:02,ZAAMOUCHE,2
L252005_F_14,09:15:00,09:15:00,ZAAMOUCHE,1
L252005_F_14,09:22:02,09:22:02,ZIGHOYD_YOUCEF,2
L252005_B_14,09:15:00,09:15:00,ZIGHOYD_YOUCEF,1
L252005_B_14,09:22:02,09:22:02,ZAAMOUCHE,2
L252005_F_15,09:30:00,09:30:00,ZAAMOUCHE,1
L252005_F_15,09:37:02,09:37:02,ZIGHOYD_YOUCEF,2
L252005_B_15,09:30:00,09:30:00,ZIGHOYD_YOUCEF,1
L252005_B_15,09:37:02,09:37:02,ZAAMOUCHE,2
L252005_F_16,09:45:00,09:45:00,ZAAMOUCHE,1
L252005_F_16,09:52:02,09:52:02,ZIGHOYD_YOUCEF,2
L252005_B_16,09:45:00,09:45:00,ZIGHOYD_YOUCEF,1
L252005_B_16,09:52:02,09:52:02,ZAAMOUCHE,2
L252005_F_17,10:00:00,10:00:00,ZAAMOUCHE,1
L252005_F_17,10:07:02,10:07:02,ZIGHOYD_YOUCEF,2
L252005_B_17,10:00:00,10:00:00,ZIGHOYD_YOUCEF,1
L252005_B_17,10:07:02,10:07:02,ZAAMOUCHE,2
L252005_F_18,10:15:00,10:15:00,ZAAMOUCHE,1
L252005_F_18,10:22:02,10:22:02,ZIGHOYD_YOUCEF,2
L252005_B_18,10:15:00,10:15:00,ZIGHOYD_YOUCEF,1
L252005_B_18,10:22:02,10:22:02,ZAAMOUCHE,2
L252005_F_19,10:30:00,10:30:00,ZAAMOUCHE,1
L252005_F_19,10:37:02,10:37:02,ZIGHOYD_YOUCEF,2
L252005_B_19,10:30:00,10:30:00,ZIGHOYD_YOUCEF,1
L252005_B_19,10:37:02,10:37:02,ZAAMOUCHE,2
L252005_F_20,10:45:00,10:45:00,ZAAMOUCHE,1
L252005_F_20,10:52:02,10:52:02,ZIGHOYD_YOUCEF,2
L252005_B_20,10:45:00,10:45:00,ZIGHOYD_YOUCEF,1
L252005_B_20,10:52:02,10:52:02,ZAAMOUCHE,2
L252005_F_21,11:00:00,11:00:00,ZAAMOUCHE,1
L252005_F_21,11:07:02,11:07:02,ZIGHOYD_YOUCEF,2
L252005_B_21,11:00:00,11:00:00,ZIGHOYD_YOUCEF,1
L252005_B_21,11:07:02,11:07:02,ZAAMOUCHE,2
L252005_F_22,11:15:00,11:15:00,ZAAMOUCHE,1
L252005_F_22,11:22:02,11:22:02,ZIGHOYD_YOUCEF,2
L252005_B_22,11:15:00,11:15:00,ZIGHOYD_YOUCEF,1
L252005_B_22,11:22:02,11:22:02,ZAAMOUCHE,2
L252005_F_23,11:30:00,11:30:00,ZAAMOUCHE,1
L252005_F_23,11:37:02,11:37:02,ZIGHOYD_YOUCEF,2
L252005_B_23,11:30:00,11:30:00,ZIGHOYD_YOUCEF,1
L252005_B_23,11:37:02,11:37:02,ZAAMOUCHE,2
L252005_F_24,11:45:00,11:45:00,ZAAMOUCHE,1
L252005_F_24,11:52:02,11:52:02,ZIGHOYD_YOUCEF,2
L252005_B_24,11:45:00,11:45:00,ZIGHOYD_YOUCEF,1
L252005_B_24,11:52:02,11:52:02,ZAAMOUCHE,2
L252005_F_25,12:00:00,12:00:00,ZAAMOUCHE,1
L252005_F_25,12:07:02,12:07:02,ZIGHOYD_YOUCEF,2
L252005_B_25,12:00:00,12:00:00,ZIGHOYD_YOUCEF,1
L252005_B_25,12:07:02,12:07:02,ZAAMOUCHE,2
L252005_F_26,12:15:00,12:15:00,ZAAMOUCHE,1
L252005_F_26,12:22:02,12:22:02,ZIGHOYD_YOUCEF,2
L252005_B_26,12:15:00,12:15:00,ZIGHOYD_YOUCEF,1
L252005_B_26,12:22:02,12:22:02,ZAAMOUCHE,2
L252005_F_27,12:30:00,12:30:00,ZAAMOUCHE,1
L252005_F_27,12:37:02,12:37:02,ZIGHOYD_YOUCEF,2
L252005_B_27,12:30:00,12:30:00,ZIGHOYD_YOUCEF,1
L252005_B_27,12:37:02,12:37:02,ZAAMOUCHE,2
L252005_F_28,12:45:00,12:45:00,ZAAMOUCHE,1
L252005_F_28,12:52:02,12:52:02,ZIGHOYD_YOUCEF,2
L252005_B_28,12:45:00,12:45:00,ZIGHOYD_YOUCEF,1
L252005_B_28,12:52:02,12:52:02,ZAAMOUCHE,2
L252005_F_29,13:00:00,13:00:00,ZAAMOUCHE,1
L252005_F_29,13:07:02,13:07:02,ZIGHOYD_YOUCEF,2
L252005_B_29,13:00:00,13:00:00,ZIGHOYD_YOUCEF,1
L252005_B_29,13:07:02,13:07:02,ZAAMOUCHE,2
L252005_F_30,13:15:00,13:15:00,ZAAMOUCHE,1
L252005_F_30,13:22:02,13:22:02,ZIGHOYD_YOUCEF,2
L252005_B_30,13:15:00,13:15:00,ZIGHOYD_YOUCEF,1
L252005_B_30,13:22:02,13:22:02,ZAAMOUCHE,2
L252005_F_31,13:30:00,13:30:00,ZAAMOUCHE,1
L252005_F_31,13:37:02,13:37:02,ZIGHOYD_YOUCEF,2
L252005_B_31,13:30:00,13:30:00,ZIGHOYD_YOUCEF,1
L252005_B_31,13:37:02,13:37:02,ZAAMOUCHE,2
L252005_F_32,13:45:00,13:45:00,ZAAMOUCHE,1
L252005_F_32,13:52:02,13:52:02,ZIGHOYD_YOUCEF,2
L252005_B_32,13:45:00,13:45:00,ZIGHOYD_YOUCEF,1
L252005_B_32,13:52:02,13:52:02,ZAAMOUCHE,2
L252005_F_33,14:00:00,14:00:00,ZAAMOUCHE,1
L252005_F_33,14:07:02,14:07:02,ZIGHOYD_YOUCEF,2
L252005_B_33,14:00:00,14:00:00,ZIGHOYD_YOUCEF,1
L252005_B_33,14:07:02,14:07:02,ZAAMOUCHE,2
L252005_F_34,14:15:00,14:15:00,ZAAMOUCHE,1
L252005_F_34,14:22:02,14:22:02,ZIGHOYD_YOUCEF,2
L252005_B_34,14:15:00,14:15:00,ZIGHOYD_YOUCEF,1
L252005_B_34,14:22:02,14:22:02,ZAAMOUCHE,2
L252005_F_35,14:30:00,14:30:00,ZAAMOUCHE,1
L252005_F_35,14:37:02,14:37:02,ZIGHOYD_YOUCEF,2
L252005_B_35,14:30:00,14:30:00,ZIGHOYD_YOUCEF,1
L252005_B_35,14:37:02,14:37:02,ZAAMOUCHE,2
L252005_F_36,14:45:00,14:45:00,ZAAMOUCHE,1
L252005_F_36,14:52:02,14:52:02,ZIGHOYD_YOUCEF,2
L252005_B_36,14:45:00,14:45:00,ZIGHOYD_YOUCEF,1
L252005_B_36,14:52:02,14:52:02,ZAAMOUCHE,2
L252005_F_37,15:00:00,15:00:00,ZAAMOUCHE,1
L252005_F_37,15:07:02,15:07:02,ZIGHOYD_YOUCEF,2
L252005_B_37,15:00:00,15:00:00,ZIGHOYD_YOUCEF,1
L252005_B_37,15:07:02,15:07:02,ZAAMOUCHE,2
L252005_F_38,15:15:00,15:15:00,ZAAMOUCHE,1
L252005_F_38,15:22:02,15:22:02,ZIGHOYD_YOUCEF,2
L252005_B_38,15:15:00,15:15:00,ZIGHOYD_YOUCEF,1
L252005_B_38,15:22:02,15:22:02,ZAAMOUCHE,2
L252005_F_39,15:30:00,15:30:00,ZAAMOUCHE,1
L252005_F_39,15:37:02,15:37:02,ZIGHOYD_YOUCEF,2
L252005_B_39,15:30:00,15:30:00,ZIGHOYD_YOUCEF,1
L252005_B_39,15:37:02,15:37:02,ZAAMOUCHE,2
L252005_F_40,15:45:00,15:45:00,ZAAMOUCHE,1
L252005_F_40,15:52:02,15:52:02,ZIGHOYD_YOUCEF,2
L252005_B_40,15:45:00,15:45:00,ZIGHOYD_YOUCEF,1
L252005_B_40,15:52:02,15:52:02,ZAAMOUCHE,2
L252005_F_41,16:00:00,16:00:00,ZAAMOUCHE,1
L252005_F_41,16:07:02,16:07:02,ZIGHOYD_YOUCEF,2
L252005_B_41,16:00:00,16:00:00,ZIGHOYD_YOUCEF,1
L252005_B_41,16:07:02,16:07:02,ZAAMOUCHE,2
L252005_F_42,16:15:00,16:15:00,ZAAMOUCHE,1
L252005_F_42,16:22:02,16:22:02,ZIGHOYD_YOUCEF,2
L252005_B_42,16:15:00,16:15:00,ZIGHOYD_YOUCEF,1
L252005_B_42,16:22:02,16:22:02,ZAAMOUCHE,2
L252005_F_43,16:30:00,16:30:00,ZAAMOUCHE,1
L252005_F_43,16:37:02,16:37:02,ZIGHOYD_YOUCEF,2
L252005_B_43,16:30:00,16:30:00,ZIGHOYD_YOUCEF,1
L252005_B_43,16:37:02,16:37:02,ZAAMOUCHE,2
L252005_F_44,16:45:00,16:45:00,ZAAMOUCHE,1
L252005_F_44,16:52:02,16:52:02,ZIGHOYD_YOUCEF,2
L252005_B_44,16:45:00,16:45:00,ZIGHOYD_YOUCEF,1
L252005_B_44,16:52:02,16:52:02,ZAAMOUCHE,2
L252005_F_45,17:00:00,17:00:00,ZAAMOUCHE,1
L252005_F_45,17:07:02,17:07:02,ZIGHOYD_YOUCEF,2
L252005_B_45,17:00:00,17:00:00,ZIGHOYD_YOUCEF,1
L252005_B_45,17:07:02,17:07:02,ZAAMOUCHE,2
L252005_F_46,17:15:00,17:15:00,ZAAMOUCHE,1
L252005_F_46,17:22:02,17:22:02,ZIGHOYD_YOUCEF,2
L252005_B_46,17:15:00,17:15:00,ZIGHOYD_YOUCEF,1
L252005_B_46,17:22:02,17:22:02,ZAAMOUCHE,2
L252005_F_47,17:30:00,17:30:00,ZAAMOUCHE,1
L252005_F_47,17:37:02,17:37:02,ZIGHOYD_YOUCEF,2
L252005_B_47,17:30:00,17:30:00,ZIGHOYD_YOUCEF,1
